district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status,investment_standardized,district_name_encoded,mandal_name_encoded,village_name_encoded,name_of_the_unit_encoded,line_of_activity_encoded,sector_encoded,number_of_employees_encoded,application_date_encoded,approval_date_encoded,progress_of_implementation_encoded,is_online_encoded,social_status_encoded,application_date_year,application_date_month,application_date_day,application_date_dayofweek,approval_date_year,approval_date_month,approval_date_day,approval_date_dayofweek,application_date_encoded_year,application_date_encoded_month,application_date_encoded_day,application_date_encoded_dayofweek,approval_date_encoded_year,approval_date_encoded_month,approval_date_encoded_day,approval_date_encoded_dayofweek,investment_group_mean_x,investment_group_sum_x,investment_group_count_x,investment_standardized_group_mean_x,investment_standardized_group_sum_x,investment_standardized_group_count_x,district_name_encoded_group_mean_x,district_name_encoded_group_sum_x,district_name_encoded_group_count_x,investment_group_mean_y,investment_group_sum_y,investment_group_count_y,investment_standardized_group_mean_y,investment_standardized_group_sum_y,investment_standardized_group_count_y,district_name_encoded_group_mean_y,district_name_encoded_group_sum_y,district_name_encoded_group_count_y,investment_group_mean,investment_group_sum,investment_group_count,investment_standardized_group_mean,investment_standardized_group_sum,investment_standardized_group_count,district_name_encoded_group_mean,district_name_encoded_group_sum,district_name_encoded_group_count
NALGONDA,MIRYALAGUDA,GUDUR,J.M.J GAS WELDING WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.0717,3,2025-08-12,,YET TO START CONSTRUCTION,YES,SC,-0.837271699205091,8,10,10,77,5,5,21,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000012,0,0,2,2025,8,12,1,,,,,1970,1,1,3,1970,1,1,3,0.3072,0.9216,3,-0.7125171909868167,-2.13755157296045,3,8.0,24,3,0.11080000000000001,0.22160000000000002,2,-0.8165587426389147,-1.6331174852778294,2,8.0,16,2,0.11080000000000001,0.22160000000000002,2,-0.8165587426389147,-1.6331174852778294,2,8.0,16,2
RANGAREDDY,MAHESWARAM,MAHESWARAM,GSK ENTERPRISES,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.311,2,2025-08-12,,YET TO START CONSTRUCTION,YES,GENERAL,-0.7105041670750144,9,62,71,78,5,5,8,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000012,0,0,0,2025,8,12,1,,,,,1970,1,1,3,1970,1,1,3,3.2394545454545454,71.268,22,0.8408245236160773,18.4981395195537,22,9.0,198,22,0.311,0.311,1,-0.7105041670750144,-0.7105041670750144,1,9.0,9,1,0.311,0.311,1,-0.7105041670750144,-0.7105041670750144,1,9.0,9,1
RANGAREDDY,FAROOQNAGAR,SOLIPUR,NAGASREE PLASTICS,REPROCESSING OF WASTE PLASTIC INCLUDING PVC,PLASTIC AND RUBBER,0.4,10,2025-07-25,,YET TO START CONSTRUCTION,YES,GENERAL,-0.6633570280880657,9,19,72,79,39,11,9,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000012,0,0,0,2025,7,25,4,,,,,1970,1,1,3,1970,1,1,3,3.2394545454545454,71.268,22,0.8408245236160773,18.4981395195537,22,9.0,198,22,3.2436249999999998,12.974499999999999,4,0.8430337932800468,3.372135173120187,4,9.0,36,4,0.4,0.4,1,-0.6633570280880657,-0.6633570280880657,1,9.0,9,1
HYDERABAD,CHARMINAR,CHARMINAR,SSR HALLMARKING,"GOLD AND SILVER SMITHY (PURIFICATION WITH ACID, SMELTING OPERATING AND SULFURIC ACIDPOLISHING OPERATION) (USING LESS THAN OR EQUAL TO 1 LITRE OF SULPHURIC ACID / NITRIC ACID PERMONTH.",ENGINEERING,0.45,2,2025-08-01,,YET TO START CONSTRUCTION,YES,GENERAL,-0.6368698713538249,21,63,73,80,26,5,8,1970-01-01 00:00:00.000000046,1970-01-01 00:00:00.000000012,0,0,0,2025,8,1,4,,,,,1970,1,1,3,1970,1,1,3,0.275,0.55,2,-0.7295749199236679,-1.4591498398473357,2,21.0,42,2,0.45,0.45,1,-0.6368698713538249,-0.6368698713538249,1,21.0,21,1,0.45,0.45,1,-0.6368698713538249,-0.6368698713538249,1,21.0,21,1
YADADRI,BHONGIR,BUVANAGIRI,M/S BHAKTIN ENTERPRISES,ALUMINIUM UTENSILS FROM ALUMINIUM CIRCLES BY PRESSING ONLY (DRY MECHANICAL OPERATION),ENGINEERING,0.24,15,2025-06-23,,YET TO START CONSTRUCTION,YES,GENERAL,-0.7481159296376364,5,64,74,81,14,5,13,1970-01-01 00:00:00.000000047,1970-01-01 00:00:00.000000013,0,0,0,2025,6,23,0,,,,,1970,1,1,3,1970,1,1,3,0.6163333333333333,5.547,9,-0.5487559299512503,-4.938803369561253,9,5.0,45,9,0.245,0.49,2,-0.7454672139642122,-1.4909344279284245,2,5.0,10,2,0.24,0.24,1,-0.7481159296376364,-0.7481159296376364,1,5.0,5,1
SANGAREDDY,KONDAPUR,GOLLAPALLE,M/S. ELMENTOZ RESEARCH PRIVATE LIMITED,INDUSTRY OR PROCESSES INVOLVING FOUNDRY OPERATIONS,ENGINEERING,1.5,1,2025-08-13,,YET TO START CONSTRUCTION,YES,GENERAL,-0.08063957993476704,13,65,75,82,40,5,0,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000014,0,0,0,2025,8,13,2,,,,,1970,1,1,3,1970,1,1,3,1.7844541666666667,21.41345,12,0.07004806198939033,0.840576743872684,12,13.0,156,12,1.5,1.5,1,-0.08063957993476704,-0.08063957993476704,1,13.0,13,1,1.5,1.5,1,-0.08063957993476704,-0.08063957993476704,1,13.0,13,1
MEDCHAL,SHAMIRPET,KOLTHUR,"M/S ASPEN BIOPHARMA LABS (P) LTD., (FORMERLY M/S. TAT ORG SYNTHESIS PVT. LTD)",PHARMACEUTICALS,PHARMACEUTICALS AND CHEMICALS,0.4,25,2025-07-15,,YET TO START CONSTRUCTION,YES,GENERAL,-0.6633570280880657,3,66,76,83,41,10,15,1970-01-01 00:00:00.000000048,1970-01-01 00:00:00.000000014,0,0,0,2025,7,15,1,,,,,1970,1,1,3,1970,1,1,3,1.2626315789473683,23.99,19,-0.20638387137837358,-3.9212935561890983,19,3.0,57,19,0.4,0.4,1,-0.6633570280880657,-0.6633570280880657,1,3.0,3,1,0.4,0.4,1,-0.6633570280880657,-0.6633570280880657,1,3.0,3,1
RANGAREDDY,HAYATHNAGAR,KOHEDA,SRI NAIVEDYAMFOODS,FLOUR MILLS (DRY PROCESS),FOOD PROCESSING,5.72725,20,2025-08-13,,YET TO START CONSTRUCTION,YES,OBC,2.158717086161625,9,67,77,84,11,1,2,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000014,0,0,1,2025,8,13,2,,,,,1970,1,1,3,1970,1,1,3,3.2394545454545454,71.268,22,0.8408245236160773,18.4981395195537,22,9.0,198,22,5.72725,5.72725,1,2.158717086161625,2.158717086161625,1,9.0,9,1,5.72725,5.72725,1,2.158717086161625,2.158717086161625,1,9.0,9,1
PEDDAPALLI,KAMANPUR,RATNAPUR,M/S SRI VENKATESHWARA FLY ASH BRICKS COMPANY,"CEMENT PRODUCTS (WITHOUT USING ASBESTOS / BOILER / STEAM CURING) LIKE PIPE ,PILLAR, JAFRI, WELL RING, BLOCK/TILES ETC.(SHOULD BE DONE IN CLOSED COVERED SHED TO CONTROL FUGITIVE EMISSIONS)","CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.25,5,2025-08-11,,YET TO START CONSTRUCTION,YES,OBC,-0.7428184982907882,1,68,78,85,42,4,4,1970-01-01 00:00:00.000000038,1970-01-01 00:00:00.000000014,0,0,1,2025,8,11,0,,,,,1970,1,1,3,1970,1,1,3,0.905,3.62,4,-0.3958367450722331,-1.5833469802889324,4,1.0,4,4,0.25,0.25,1,-0.7428184982907882,-0.7428184982907882,1,1.0,1,1,0.25,0.25,1,-0.7428184982907882,-0.7428184982907882,1,1.0,1,1
MAHBUBNAGAR,GANDEED,NANCHERLA,SREE INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.3725,10,2025-07-21,,YET TO START CONSTRUCTION,YES,OBC,-0.14818182960708118,26,69,79,86,7,1,9,1970-01-01 00:00:00.000000049,1970-01-01 00:00:00.000000014,0,0,1,2025,7,21,0,,,,,1970,1,1,3,1970,1,1,3,2.48625,4.9725,2,0.4418195866481337,0.8836391732962674,2,26.0,52,2,1.3725,1.3725,1,-0.14818182960708118,-0.14818182960708118,1,26.0,26,1,1.3725,1.3725,1,-0.14818182960708118,-0.14818182960708118,1,26.0,26,1
