district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status,investment_standardized,number_of_employees_standardized,district_name_encoded,mandal_name_encoded,village_name_encoded,name_of_the_unit_encoded,line_of_activity_encoded,sector_encoded,application_date_encoded,approval_date_encoded,progress_of_implementation_encoded,is_online_encoded,social_status_encoded,application_date_year,application_date_month,application_date_day,application_date_dayofweek,approval_date_year,approval_date_month,approval_date_day,approval_date_dayofweek,application_date_encoded_year,application_date_encoded_month,application_date_encoded_day,application_date_encoded_dayofweek,approval_date_encoded_year,approval_date_encoded_month,approval_date_encoded_day,approval_date_encoded_dayofweek
WARANGAL,DUGGONDI,MANDAPALLE,LAXMI SAI BINNY RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,2.1,1,2025-08-13,,YET TO START CONSTRUCTION,YES,OBC,-0.11617510560777185,-0.38844870034979195,9,13,13,13,7,1,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000003,0,0,1,2025,8,13,2,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,KAPRA,CHERLAPARLY,DAISA BIOPHARMA,PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,0.25,10,2025-08-04,,YET TO START CONSTRUCTION,YES,GENERAL,-0.2608127748973353,-0.19375985736614154,3,14,14,14,3,3,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000003,0,0,0,2025,8,4,0,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,M/S. HARMEETH SHEET METAL & FABRICATION WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.25,4,2025-08-21,,YET TO START CONSTRUCTION,YES,GENERAL,-0.2608127748973353,-0.3235524193552418,3,15,15,15,5,5,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000003,0,0,0,2025,8,21,3,,,,,1970,1,1,3,1970,1,1,3
WARANGAL,CHENNARAOPET,CHENNARAOPET,M/S SHIVA UDAY TRADERS,FLOUR MILLS (DRY PROCESS),FOOD PROCESSING,0.45,9,2025-08-25,,YET TO START CONSTRUCTION,YES,SC,-0.24517627010927434,-0.21539195103099157,9,16,16,16,11,1,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000003,0,0,2,2025,8,25,0,,,,,1970,1,1,3,1970,1,1,3
WARANGAL,NALLABELLY,LENKALPALLE,VIJAYA LAXMI CEMENT FLYASH BRICKS,FLY ASH BRICKS/ BLOCK MANUFACTURING,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.1447,2,2025-08-18,,YET TO START CONSTRUCTION,YES,OBC,-0.26904539466824934,-0.3668166066849419,9,17,17,17,12,4,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000003,0,0,1,2025,8,18,0,,,,,1970,1,1,3,1970,1,1,3
WARANGAL,GEESUGONDA,GORREKUNTA (RURAL),M/S SAI SRINIVASA COLD STORAGE,"CHILLING PLANT, COLD STORAGE AND ICE MAKING",AGRO BASED INCL COLD STORAGES,8.8,10,2025-05-16,,YET TO START CONSTRUCTION,YES,GENERAL,0.40764780479226864,-0.19375985736614154,9,18,18,18,0,0,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000004,0,0,0,2025,5,16,4,,,,,1970,1,1,3,1970,1,1,3
RANGAREDDY,FAROOQNAGAR,RAIKAL,BIRLA METALS & ALLOYS LLP,"INDUSTRIES ENGAGED IN RECYCLING /REPROCESSING/ RECOVERY/REUSE OFHAZARDOUS WASTE UNDER SCHEDULE IV OF HW{ M, H& TBM) RULES, 2008 -ITEMS NAMELY -LEAD ACID BATTERY PLATES AND OTHERLEAD SCRAP/ASHES/RESIDUES NOTCOVERED UNDER BATTERIES (MANAGEMENT AND HANDLING) RULES, 2001. [ * BATTERY SCRAP, NAMELY:LEAD BATTERY PLATES COVERED BY ISRI, CODE WORD ""RAILS"" BATTERY LUGSCOVERED BY ISR1, CODE WORD ""RAKES"". SCRAP DRAINED/DRY WHILE INTACT, LEAD BATTERIES COVERED BY ISRI, CODE WORD ""RAINS"".",PHARMACEUTICALS AND CHEMICALS,10.0,2,2025-07-25,,YET TO START CONSTRUCTION,YES,GENERAL,0.501466833520634,-0.3668166066849419,8,19,19,19,13,7,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000004,0,0,0,2025,7,25,4,,,,,1970,1,1,3,1970,1,1,3
NIRMAL,KADDAM (PEDDUR),BELLAL,M/S. VAYUPUTRA RAW RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.75,12,2025-08-08,,YET TO START CONSTRUCTION,YES,OBC,-0.22172151292718298,-0.15049567003644143,10,20,20,20,7,1,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000004,0,0,1,2025,8,8,4,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,BOWRAMPET,LUVIT INTERIOR DESIGN STUDIO,ALUMINIUM UTENSILS FROM ALUMINIUM CIRCLES BY PRESSING ONLY (DRY MECHANICAL OPERATION),ENGINEERING,0.1,10,2025-08-23,,YET TO START CONSTRUCTION,YES,OBC,-0.27254015348838095,-0.19375985736614154,3,15,21,21,14,5,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000004,0,0,1,2025,8,23,5,,,,,1970,1,1,3,1970,1,1,3
MAHABUBABAD,KESAMUDRAM,TALLAPOOSAPALLE,M/S GREEN FIELD AGRO INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.15,9,2025-08-06,,YET TO START CONSTRUCTION,YES,OBC,-0.19044850335106117,-0.21539195103099157,6,21,22,22,7,1,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000004,0,0,1,2025,8,6,2,,,,,1970,1,1,3,1970,1,1,3
NALGONDA,NARKETPALLE,THONDALVAI,M/S. SRI SHIVA SAI VINAYAKA RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.7,15,2025-08-23,,YET TO START CONSTRUCTION,YES,GENERAL,-0.22563063912419823,-0.0855993890418913,7,22,23,23,7,1,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000004,0,0,0,2025,8,23,5,,,,,1970,1,1,3,1970,1,1,3
BHUPALPALLY,CHITYAL,NAIN PAKA,M/S SUVEN AGRO INDUSTRIES PRIVATE LIMITED,VEGETABLE OIL MANUFACTURING SOLVENT EXTRACTION AND REFINERY /HYDROGENATED OILS,FOOD PROCESSING,41.69,50,2025-08-12,,YET TO START CONSTRUCTION,YES,GENERAL,2.979071017188885,0.6715238892278604,11,23,24,24,15,1,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000004,0,0,0,2025,8,12,1,,,,,1970,1,1,3,1970,1,1,3
SANGAREDDY,JINNARAM,ALINAGAR,M/S SD ENTERPRISES,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,4.5,10,2024-05-04,,YET TO START CONSTRUCTION,YES,GENERAL,0.07146295184895904,-0.19375985736614154,12,24,25,25,5,5,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000005,0,0,0,2024,5,4,5,,,,,1970,1,1,3,1970,1,1,3
VIKARABAD,PUDUR,MANNEGUDA (SARECAS),KU-DAS PIPES AND FITTINGS,RUBBER GOODS INDUSTRY (WITH GAS OPERATED BABY BOILER),PLASTIC AND RUBBER,0.223,10,2025-08-21,,YET TO START CONSTRUCTION,YES,GENERAL,-0.2629237030437235,-0.19375985736614154,4,25,26,26,16,9,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000005,0,0,0,2025,8,21,3,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,BHAGYANAGAR STEEL INDUSTRIES,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.55,10,2025-07-24,,YET TO START CONSTRUCTION,YES,OBC,-0.23735801771524387,-0.19375985736614154,3,15,15,27,5,5,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000005,0,0,1,2025,7,24,3,,,,,1970,1,1,3,1970,1,1,3
WARANGAL,GEESUGONDA,GORREKUNTA (RURAL),""" M/S KAVYA POLYMERS",POLYTHENE AND PLASTIC PROCESSED PRODUCTS MANUFACTURING(VIRGIN PLASTIC),PLASTIC AND RUBBER,0.33,9,2025-08-19,,YET TO START CONSTRUCTION,YES,OBC,-0.2545581729821109,-0.21539195103099157,9,18,18,28,17,9,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000005,0,0,1,2025,8,19,1,,,,,1970,1,1,3,1970,1,1,3
SIRCILLA,MUSTABAD,MUSTABAD,M/S. SRINIVASA INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,2.2,25,2025-08-08,,YET TO START CONSTRUCTION,YES,GENERAL,-0.10835685321374139,0.1307215476066092,13,26,27,29,18,1,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000006,0,0,0,2025,8,8,4,,,,,1970,1,1,3,1970,1,1,3
MAHABUBABAD,GUDUR,GOVINDAPUR,PRIME AGRO INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,5.0675,15,2025-07-31,,YET TO START CONSTRUCTION,YES,GENERAL,0.11583153418508187,-0.0855993890418913,6,27,28,30,18,1,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,0,0,0,2025,7,31,3,,,,,1970,1,1,3,1970,1,1,3
JAGTIAL,BUGGARAM,BUGGARAM,"KRISHNIKA AGRO INDUSTRIES,",PARBOILED RICE MILLS,FOOD PROCESSING,3.5455,50,2025-08-10,,YET TO START CONSTRUCTION,YES,GENERAL,-0.0031622672520616344,0.6715238892278604,14,28,29,31,18,1,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000006,0,0,0,2025,8,10,6,,,,,1970,1,1,3,1970,1,1,3
MEDAK,YELDURTHY,RAMANTHAPUR,VESTRO LABS PVT LTD,ORGANIC CHEMICALSMANUFACTURING,PHARMACEUTICALS AND CHEMICALS,1.25,20,2025-07-22,,YET TO START CONSTRUCTION,YES,GENERAL,-0.18263025095703073,0.02256107928235895,15,29,30,32,8,7,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000006,0,0,0,2025,7,22,1,,,,,1970,1,1,3,1970,1,1,3
NARAYANPET,MAGANOOR,YABANDODDI,SRI LAKSHMI AGROTECH,PARBOILED RICE MILLS,FOOD PROCESSING,0.95,10,2025-08-23,,YET TO START CONSTRUCTION,YES,OBC,-0.20608500813912212,-0.19375985736614154,16,30,31,33,18,1,1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000006,0,0,1,2025,8,23,5,,,,,1970,1,1,3,1970,1,1,3
VIKARABAD,DOULATHABAD,MATOOR,SRI LAXMI VENKATESHWARA INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.725,10,2025-08-04,,YET TO START CONSTRUCTION,YES,OBC,-0.14549355208538606,-0.19375985736614154,4,31,32,34,7,1,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000006,0,0,1,2025,8,4,0,,,,,1970,1,1,3,1970,1,1,3
SURYAPET,SURYAPET,SURYAPET,AGRO NXT,"AUTOMOBILE SERVICING, REPAIRING ANDPAINTING (EXCLUDING ONLY FUEL DISPENSING)",ENGINEERING,0.7,9,2025-07-10,,YET TO START CONSTRUCTION,YES,GENERAL,-0.22563063912419823,-0.21539195103099157,17,32,33,35,19,5,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000006,0,0,0,2025,7,10,3,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,GAJULARAMARAM,RELIANCE BATTERY PRIVATE LIMITED,ELECTRICAL AND ELECTRONIC ITEM ASSEMBLING ( COMPLETELY DRY PROCESS),ELECTRICAL AND ELECTRONIC PRODUCTS,0.3405,10,2025-07-09,,YET TO START CONSTRUCTION,YES,OBC,-0.2537372564807377,-0.19375985736614154,3,15,34,36,20,10,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000006,0,0,1,2025,7,9,2,,,,,1970,1,1,3,1970,1,1,3
JANGAON,NARMETTA,NARMETTA,VEERABHADRA WATER PLANT,MINERALIZED WATER,BEVERAGES,0.04,1,2025-08-20,,YET TO START CONSTRUCTION,YES,OBC,-0.2772311049247992,-0.38844870034979195,18,33,35,37,21,11,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000006,0,0,1,2025,8,20,2,,,,,1970,1,1,3,1970,1,1,3
RANGAREDDY,ABDULLAPURMET,THARAMATHIPET,SRI SIDDESHWARA SWAMY INFRA CONCRETE,READY MIX CEMENT CONCRETE,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.75,10,2025-08-09,,YET TO START CONSTRUCTION,YES,GENERAL,-0.22172151292718298,-0.19375985736614154,8,34,36,38,22,4,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000006,0,0,0,2025,8,9,5,,,,,1970,1,1,3,1970,1,1,3
NIZAMABAD,KOTGIRI,BAREEDPUR,M/S. ANJANI PUTRA AGRO INDUSTRIES.,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.25,8,2025-08-12,,YET TO START CONSTRUCTION,YES,GENERAL,-0.2608127748973353,-0.23702404469584162,19,35,37,39,7,1,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000006,0,0,0,2025,8,12,1,,,,,1970,1,1,3,1970,1,1,3
NIZAMABAD,BODHAN,BODHAN (R),M/S ADITHYA INDUSTRIE,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,0.2,10,2025-08-15,,YET TO START CONSTRUCTION,YES,GENERAL,-0.26472190109435045,-0.19375985736614154,19,36,38,40,7,1,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000006,0,0,0,2025,8,15,4,,,,,1970,1,1,3,1970,1,1,3
NARAYANPET,MARIKAL,CHITTANUR,TIRUMALA INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,2.845,10,2025-08-02,,YET TO START CONSTRUCTION,YES,GENERAL,-0.05792912527224496,-0.19375985736614154,16,37,39,41,7,1,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000007,0,0,0,2025,8,2,5,,,,,1970,1,1,3,1970,1,1,3
NARAYANPET,NARWA,LANKAL,RAMAKRISHNA COTEX,COTTON SEED GINNING / DE-LINTING BY MECHANICAL MEANS,OTHERS,8.59,20,2025-08-10,,YET TO START CONSTRUCTION,YES,GENERAL,0.39122947476480463,0.02256107928235895,16,38,40,42,23,12,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000007,0,0,0,2025,8,10,6,,,,,1970,1,1,3,1970,1,1,3
SANGAREDDY,JINNARAM,GADDAPOTHARAM,M/S. AET LABORATORIES PVT LTD,PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,11.515,345,2025-03-19,,YET TO START CONSTRUCTION,YES,GENERAL,0.6199133572901955,7.052991520358624,12,24,41,43,3,3,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000007,0,0,0,2025,3,19,2,,,,,1970,1,1,3,1970,1,1,3
RANGAREDDY,NANDIGAMA,NANDIGAMA,PANCHRATNA PACKAGING,"GRAVURE PRINTING, DIGITAL PRINTING ON FLEX, VINYL",PAPER AND PRINTING,4.75,40,2025-07-19,,YET TO START CONSTRUCTION,YES,GENERAL,0.09100858283403518,0.4552029525793599,8,12,12,44,24,6,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000007,0,0,0,2025,7,19,5,,,,,1970,1,1,3,1970,1,1,3
NIZAMABAD,NANDIPET,JOORPUR,M/S SRI PURNIMA AGRO INDUSTRIE'S,PARBOILED RICE MILLS,FOOD PROCESSING,3.2,20,2024-04-01,,YET TO START CONSTRUCTION,YES,GENERAL,-0.03017432927343685,0.02256107928235895,19,39,42,45,18,1,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000007,0,0,0,2024,4,1,0,,,,,1970,1,1,3,1970,1,1,3
SIRCILLA,YELLAREDDIPET,VENKATAPURAM,M/S. MADHU GENERAL ENGINEERING WORK SHOP,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.16,4,2025-08-10,,YET TO START CONSTRUCTION,YES,OBC,-0.26784920205196266,-0.3235524193552418,13,40,43,46,5,5,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000007,0,0,1,2025,8,10,6,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,POOJA GOYAL,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.105,5,2025-08-20,,YET TO START CONSTRUCTION,YES,GENERAL,-0.2721492408686794,-0.3019203256903918,3,15,15,47,5,5,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000007,0,0,0,2025,8,20,2,,,,,1970,1,1,3,1970,1,1,3
MAHABUBABAD,KESAMUDRAM,KESAMUDRAM,M/S SRI LAXMINIVASA RICE INDUSTRIES.,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.35,9,2025-07-31,,YET TO START CONSTRUCTION,YES,GENERAL,-0.17481199856300025,-0.21539195103099157,6,21,44,48,7,1,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000007,0,0,0,2025,7,31,3,,,,,1970,1,1,3,1970,1,1,3
HYDERABAD,SECUNDERABAD,SECUNDERABAD,SURYA HALLMARKING CENTER,"GOLD AND SILVER SMITHY (PURIFICATION WITH ACID, SMELTING OPERATING AND SULFURIC ACIDPOLISHING OPERATION) (USING LESS THAN OR EQUAL TO 1 LITRE OF SULPHURIC ACID / NITRIC ACID PERMONTH.",ENGINEERING,0.1,2,2025-08-08,,YET TO START CONSTRUCTION,YES,GENERAL,-0.27254015348838095,-0.3668166066849419,20,41,45,49,25,5,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000007,0,0,0,2025,8,8,4,,,,,1970,1,1,3,1970,1,1,3
KARIMNAGAR,KOTHAPALLY,KHAZIPUR,GAJANANA GRANITES INDUSTRIES,GRANITE / STONE CUTTING AND POLISHING,OTHERS,0.95,10,2025-08-16,,YET TO START CONSTRUCTION,YES,OBC,-0.20608500813912212,-0.19375985736614154,21,42,46,50,26,12,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000007,0,0,1,2025,8,16,5,,,,,1970,1,1,3,1970,1,1,3
KHAMMAM,PENUBALLI,KARAIGUDEM,SRI SAI RAM SEEDS,COB DRYING (FUEL CONSUMPTION MORE THAN 12 TPD),OTHERS,6.644,25,2025-07-26,,YET TO START CONSTRUCTION,YES,GENERAL,0.239086283176972,0.1307215476066092,22,43,47,51,27,12,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000008,0,0,0,2025,7,26,5,,,,,1970,1,1,3,1970,1,1,3
YADADRI,BIBINAGAR,RAIRAOPET,VIJAYA MINING AND DRILLING SYSTEMS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.9938,8,2025-07-29,,YET TO START CONSTRUCTION,YES,OBC,-0.20266061359053675,-0.23702404469584162,5,5,5,52,5,5,1970-01-01 00:00:00.000000035,1970-01-01 00:00:00.000000008,0,0,1,2025,7,29,1,,,,,1970,1,1,3,1970,1,1,3
