district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status,investment_standardized,district_name_encoded,mandal_name_encoded,village_name_encoded,name_of_the_unit_encoded,line_of_activity_encoded,sector_encoded,number_of_employees_encoded,application_date_encoded,approval_date_encoded,progress_of_implementation_encoded,is_online_encoded,social_status_encoded,application_date_year,application_date_month,application_date_day,application_date_dayofweek,approval_date_year,approval_date_month,approval_date_day,approval_date_dayofweek,application_date_encoded_year,application_date_encoded_month,application_date_encoded_day,application_date_encoded_dayofweek,approval_date_encoded_year,approval_date_encoded_month,approval_date_encoded_day,approval_date_encoded_dayofweek
SIRCILLA,MUSTABAD,MUSTABAD,M/S. SRINIVASA INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,2.2,25,2025-08-08,,YET TO START CONSTRUCTION,YES,GENERAL,0.2901806143446049,14,26,27,29,18,1,15,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000007,0,0,0,2025,8,8,4,,,,,1970,1,1,3,1970,1,1,3
MAHABUBABAD,GUDUR,GOVINDAPUR,PRIME AGRO INDUSTRIES,PARBOILED RICE MILLS,FOOD PROCESSING,5.0675,15,2025-07-31,,YET TO START CONSTRUCTION,YES,GENERAL,1.8092190530533172,6,27,28,30,18,1,13,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000007,0,0,0,2025,7,31,3,,,,,1970,1,1,3,1970,1,1,3
JAGTIAL,BUGGARAM,BUGGARAM,"KRISHNIKA AGRO INDUSTRIES,",PARBOILED RICE MILLS,FOOD PROCESSING,3.5455,50,2025-08-10,,YET TO START CONSTRUCTION,YES,GENERAL,1.002950002063026,15,28,29,31,18,1,14,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000007,0,0,0,2025,8,10,6,,,,,1970,1,1,3,1970,1,1,3
MEDAK,YELDURTHY,RAMANTHAPUR,VESTRO LABS PVT LTD,ORGANIC CHEMICALSMANUFACTURING,PHARMACEUTICALS AND CHEMICALS,1.25,20,2025-07-22,,YET TO START CONSTRUCTION,YES,GENERAL,-0.2130753636059713,16,29,30,32,19,10,2,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000007,0,0,0,2025,7,22,1,,,,,1970,1,1,3,1970,1,1,3
NARAYANPET,MAGANOOR,YABANDODDI,SRI LAKSHMI AGROTECH,PARBOILED RICE MILLS,FOOD PROCESSING,0.95,10,2025-08-23,,YET TO START CONSTRUCTION,YES,OBC,-0.37199830401141637,17,30,31,33,18,1,9,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000007,0,0,1,2025,8,23,5,,,,,1970,1,1,3,1970,1,1,3
VIKARABAD,DOULATHABAD,MATOOR,SRI LAXMI VENKATESHWARA INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,1.725,10,2025-08-04,,YET TO START CONSTRUCTION,YES,OBC,0.03855262536931681,4,31,32,34,7,1,9,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000007,0,0,1,2025,8,4,0,,,,,1970,1,1,3,1970,1,1,3
SURYAPET,SURYAPET,SURYAPET,AGRO NXT,"AUTOMOBILE SERVICING, REPAIRING ANDPAINTING (EXCLUDING ONLY FUEL DISPENSING)",ENGINEERING,0.7,9,2025-07-10,,YET TO START CONSTRUCTION,YES,GENERAL,-0.5044340876826207,18,32,33,35,20,5,12,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000007,0,0,0,2025,7,10,3,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,QUTUBULLAPUR,GAJULARAMARAM,RELIANCE BATTERY PRIVATE LIMITED,ELECTRICAL AND ELECTRONIC ITEM ASSEMBLING ( COMPLETELY DRY PROCESS),ELECTRICAL AND ELECTRONIC PRODUCTS,0.3405,10,2025-07-09,,YET TO START CONSTRUCTION,YES,OBC,-0.6948767446018123,3,15,34,36,21,12,9,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000007,0,0,1,2025,7,9,2,,,,,1970,1,1,3,1970,1,1,3
JANGAON,NARMETTA,NARMETTA,VEERABHADRA WATER PLANT,MINERALIZED WATER,BEVERAGES,0.04,1,2025-08-20,,YET TO START CONSTRUCTION,YES,OBC,-0.8540645565745998,19,33,35,37,22,13,0,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000007,0,0,1,2025,8,20,2,,,,,1970,1,1,3,1970,1,1,3
RANGAREDDY,ABDULLAPURMET,THARAMATHIPET,SRI SIDDESHWARA SWAMY INFRA CONCRETE,READY MIX CEMENT CONCRETE,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.75,10,2025-08-09,,YET TO START CONSTRUCTION,YES,GENERAL,-0.47794693094837976,9,34,36,38,23,4,9,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000007,0,0,0,2025,8,9,5,,,,,1970,1,1,3,1970,1,1,3
